component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
lox_tank,Tank,0.4,,,3428617.383527498,,89.9963770772589,-2588162.5325207966,,1149.347440871805,0.8347046152897843,-131906.1701769768,19.187312269343966,19.187312269343966,0.0,,,2925.833373689118,
lox_tank,Tank,0.5,,,3405548.046806368,,89.99192139175406,-2586877.0328004328,,1149.3200761278033,0.8343098946383308,-131926.1713110918,19.17778223239812,19.17778223239812,0.0,,,2925.834160264327,
lox_tank,Tank,0.5,,,3459299.9863080783,,90.0023017683468,-2585604.3725263504,,1149.3838320330867,0.8338531849116599,-131879.56979903555,19.168347380535156,19.168347380535156,0.0,,,2925.8323195498233,
lox_tank,Tank,0.5,,,3512373.139662433,,90.01254609484094,-2584250.8519452233,,1149.4467676839556,0.8333710446785834,-131833.56180854718,19.15831307174398,19.15831307174398,0.0,,,2925.8304746566837,
lox_tank,Tank,0.5,,,3488682.2654164326,,90.00797382633469,-2582884.9360672086,,1149.4186762310096,0.8329509197359605,-131854.0983070943,19.148186870566192,19.148186870566192,0.0,,,2925.831301548171,
lox_tank,Tank,0.5,,,3465226.120082765,,90.00344589167052,-2581585.0091845444,,1149.3908601564044,0.8325518560074192,-131874.432311485,19.13854987802357,19.13854987802357,0.0,,,2925.8321149005365,
lox_tank,Tank,0.6,,,3442043.7340241414,,89.99896985620259,-2580289.486778213,,1149.3633658398803,0.8321539604681877,-131894.5299549818,19.128945538014058,19.128945538014058,0.0,,,2925.8329135310128,
lox_tank,Tank,0.6,,,3419176.6422052775,,89.9945537750237,-2579003.021192967,,1149.3362426503859,0.8317586982444197,-131914.35519331455,19.11940834064035,19.11940834064035,0.0,,,2925.833696204726,
lox_tank,Tank,0.6,,,3396611.8429035065,,89.9901951740832,-2577724.878130941,,1149.3094752786349,0.8313658441544207,-131933.91926126424,19.10993284219393,19.10993284219393,0.0,,,2925.834463569733,
lox_tank,Tank,0.6,,,3449250.954103947,,90.00036152099905,-2576454.88396558,,1149.3719139123918,0.8309111056350501,-131888.28165471368,19.100517755496384,19.100517755496384,0.0,,,2925.832665800064,
