component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
engine_block,Engine,4.8,219.28212616814767,1.6367823212729968,2868309.332832367,,2774.05966182645,,1566.9662637697713,1.2,0.0,,0.0,,,0.28528442935800863,0.46694851050764363,,1618.1716489733492
engine_block,Engine,4.8,226.67353665462917,1.7770757546778462,2922436.8638840914,,3005.920689491861,,1606.3411766675345,1.2,0.0,,0.0,,,0.2868219278415891,0.5097042938772467,,1771.2093881656983
engine_block,Engine,4.9,232.43642838825104,1.9209325476881562,2961298.6585495854,,3193.720037220409,,1632.9309808650378,1.2,0.0,,0.0,,,0.26854066253353753,0.5158484990384137,,1788.5652349377656
engine_block,Engine,4.9,231.3460518344285,1.8992729879454828,2929084.858721014,,3169.6140810904076,,1629.8281109044412,1.2,0.0,,0.0,,,0.2534714517018616,0.48141148143267376,,1667.8203210349666
engine_block,Engine,5.0,229.5855712533397,1.857253885152269,2904064.8714560894,,3117.3191803329055,,1622.7963666138558,1.2,0.0,,0.0,,,0.25756818890764743,0.4783695195403618,,1657.504262960927
engine_block,Engine,5.0,223.9217215750228,1.725691635445559,2882863.5337598324,,2927.2050131072497,,1593.6046218373792,1.2,0.0,,0.0,,,0.2737586825185585,0.47242306855287275,,1639.116625639322
engine_block,Engine,5.1,217.96662773777004,1.615368353749186,2857443.1157695116,,2734.093956038306,,1559.6438779578639,1.2,0.0,,0.0,,,0.2878907205048474,0.46504955924158237,,1609.976524446415
engine_block,Engine,5.1,225.41911818331755,1.751226425231864,2911020.6348391506,,2966.79970741069,,1600.142764831005,1.2,0.0,,0.0,,,0.28942761026020636,0.5068532792793823,,1760.8649416326318
engine_block,Engine,5.2,231.17596407702374,1.886782784355394,2949760.6565213697,,3153.6542047808252,,1627.7721473760637,1.2,0.0,,0.0,,,0.27152269951170577,0.5123043550003892,,1777.5913747155412
engine_block,Engine,5.2,229.9658888537778,1.863094249903748,2917997.752645385,,3125.1469183723507,,1623.86357806351,1.2,0.0,,0.0,,,0.2567113157696322,0.47827737629562705,,1658.1090363876597
engine_block,Engine,5.2,228.22704272968073,1.8243559664641138,2893377.689817638,,3073.717366932791,,1616.560205513861,1.2,0.0,,0.0,,,0.2606769306330466,0.4755675137199505,,1648.3830530788553
engine_block,Engine,5.3,222.63103886923102,1.7012870986687625,2871779.2256215992,,2887.0970046703032,,1586.8740685525754,1.2,0.0,,0.0,,,0.27622760719008393,0.46994246440863247,,1629.6432646710086
engine_block,Engine,5.4,225.70315832166293,1.7540757200752721,2924221.329402877,,2971.372830363024,,1600.8602974701998,1.2,0.0,,0.0,,,0.2900029654342977,0.50868716041813,,1768.4181313064023
engine_block,Engine,5.4,228.10952733121164,1.7989467646910815,2967278.6105741705,,3038.4676002832584,,1611.287279474042,1.2,0.0,,0.0,,,0.28547625985462355,0.5135565940615855,,1788.0393350298575
engine_block,Engine,5.5,226.48645060190972,1.769112918217673,2935133.522886699,,2995.488935811421,,1604.5785199644088,1.2,0.0,,0.0,,,0.27014824556936057,0.477922751070596,,1662.0881387549978
engine_block,Engine,5.5,224.77693392724038,1.7371986234494863,2909904.776778669,,2945.917812324645,,1596.649758107903,1.2,0.0,,0.0,,,0.27378223299501325,0.4756141182838635,,1652.465208681293
engine_block,Engine,5.6,223.04743724919237,1.7068006755570047,2884146.422226511,,2896.4433250160014,,1588.4407887660766,1.2,0.0,,0.0,,,0.27565277135608807,0.47048433636973164,,1632.6191429018804
engine_block,Engine,5.6,221.320273210278,1.6779921071328951,2858702.9668698227,,2847.420720121236,,1580.0440095388174,1.2,0.0,,0.0,,,0.2776480682535694,0.4658912670901848,,1614.3368259289173
engine_block,Engine,5.7,227.78241838435875,1.8088220399343902,2906652.403554069,,3051.31873797839,,1613.3080607541815,1.2,0.0,,0.0,,,0.2795586136193889,0.505671781768253,,1754.6330655974753
engine_block,Engine,5.7,232.97124741671396,1.9463850377986611,2940603.485761993,,3221.2242060481567,,1636.2815345708298,1.2,0.0,,0.0,,,0.2628767552743631,0.5116593832510806,,1770.1620200472703
engine_block,Engine,5.8,228.66882789445177,1.8280834420621528,2917795.605030797,,3079.1591574697964,,1617.330394101144,1.2,0.0,,0.0,,,0.26283780967172293,0.48048944780876024,,1667.4623302856833
engine_block,Engine,5.8,223.39912855752578,1.7109926440654264,2896655.8550790222,,2903.4506092964234,,1589.6147384807964,1.2,0.0,,0.0,,,0.2772910309485352,0.4744429142182622,,1647.4591080048333
engine_block,Engine,5.9,217.92693984110866,1.6114860775791644,2872329.125683925,,2726.8282095881705,,1558.280708529875,1.2,0.0,,0.0,,,0.29036929702313485,0.46792607950923093,,1621.1318407619588
engine_block,Engine,5.9,224.7709273253346,1.7342136893394176,2920761.9757035007,,2940.419593180835,,1595.8277073607678,1.2,0.0,,0.0,,,0.29179829609624275,0.5060405996160209,,1759.236996650026
engine_block,Engine,6.0,230.10374226057695,1.8540922660035455,2956434.957897734,,3113.105014732345,,1622.2149153482371,1.2,0.0,,0.0,,,0.27552980535128596,0.5108576811552816,,1775.1264014532123
engine_block,Engine,6.0,228.82181945641187,1.8293666062733487,2926382.0607090546,,3081.1660759865713,,1617.6048915184888,1.2,0.0,,0.0,,,0.26191123504387936,0.47913166719708294,,1663.4501626750227
engine_block,Engine,6.1,227.1839324045235,1.7951370006725127,2902713.3964116545,,3033.0604584068005,,1610.461120230494,1.2,0.0,,0.0,,,0.2654768190203891,0.4765672606443408,,1653.7746268705
engine_block,Engine,6.1,225.54628434760178,1.7631994603129766,2878487.9975628806,,2985.6884372761374,,1603.1082648357717,1.2,0.0,,0.0,,,0.26735872185250054,0.47140675408029614,,1634.5991774701224
engine_block,Engine,6.2,223.8989271907325,1.732811243760714,2854503.115906165,,2938.270681958463,,1595.4662254395366,1.2,0.0,,0.0,,,0.2693719012505629,0.4667706592401761,,1616.8992049180238
engine_block,Engine,6.2,226.51875841116004,1.7790910792398236,2902603.3096296797,,3008.680639500098,,1606.7897651322219,1.2,0.0,,0.0,,,0.2833480881355874,0.5041020559216828,,1749.8315659263362
engine_block,Engine,6.2,228.67808530897454,1.8209362546428483,2941471.02343278,,3068.7905154251016,,1615.8535623836594,1.2,0.0,,0.0,,,0.2791743106649686,0.5083586236547669,,1766.6978459077363
engine_block,Engine,6.3,223.8516027394814,1.7158740494713518,2915091.4687234457,,2911.7185235863994,,1590.9750559310155,1.2,0.0,,0.0,,,0.2771590833561547,0.4755700787060931,,1652.981363986098
engine_block,Engine,6.4,222.22544266080044,1.6882775313656189,2890812.5934274443,,2865.3764453757503,,1583.1228674599802,1.2,0.0,,0.0,,,0.2794822313680968,0.4718435716346852,,1637.913986808339
engine_block,Engine,6.4,220.60266768299599,1.6620776405863016,2866544.3303337004,,2819.6387367235466,,1575.1496885982872,1.2,0.0,,0.0,,,0.2812350397032797,0.4674344712402219,,1620.2047999184626
engine_block,Engine,6.5,226.68441604907568,1.7807232275569298,2910614.69338657,,3011.256753790161,,1607.1755311816787,1.2,0.0,,0.0,,,0.2829831288481993,0.503914630546724,,1749.8828735626776
engine_block,Engine,6.5,231.59052953473304,1.9017501168574427,2942505.527182113,,3171.4329595842796,,1630.1063878434904,1.2,0.0,,0.0,,,0.2676737255870633,0.5090485389148647,,1764.6377164720757
engine_block,Engine,6.6,230.54112136403157,1.8808594410049353,2914108.9808627083,,3147.108898084728,,1626.8675357005152,1.2,0.0,,0.0,,,0.2550123295997407,0.4796423477003346,,1661.501189708084
engine_block,Engine,6.6,228.9852263156419,1.8449216596671074,2891929.1843784037,,3101.083018817875,,1620.521993879114,1.2,0.0,,0.0,,,0.2585463046413097,0.4769976774596426,,1652.285598075716
engine_block,Engine,6.7,224.10356153202508,1.7322690967595549,2873012.385220283,,2937.574584583652,,1595.3343494174694,1.2,0.0,,0.0,,,0.2723683038733901,0.47181519573668945,,1636.0546341476152
engine_block,Engine,6.7,219.00485710056017,1.6355819079751106,2850900.1564147947,,2771.6973524822306,,1566.5597750021764,1.2,0.0,,0.0,,,0.28454109453187304,0.4653902662917672,,1611.1807691267418
engine_block,Engine,6.8,222.20385055697943,1.686273451710421,2897294.129441981,,2861.3175147727457,,1582.4999866556964,1.2,0.0,,0.0,,,0.29672068533849894,0.5003522142596323,,1737.4752678348032
engine_block,Engine,6.8,227.3184378743945,1.789949424225459,2931463.3920127084,,3025.148392579463,,1609.2850823351994,1.2,0.0,,0.0,,,0.2814669180263948,0.5038115478598598,,1751.1661695259277
